VenueID,ManagerID,VenueName,Address,MaxCapacity
270,414,Edgewire,7762 Brickson Park Street,206
271,571,Babbleblab,365 Truax Terrace,159
272,954,Yozio,1 Glendale Drive,283
273,321,Kamba,9 Lakewood Plaza,157
274,113,Yodoo,18722 Pierstorff Trail,91
275,476,Livetube,43 Stuart Way,131
276,502,Jamia,7 Nevada Avenue,298
277,427,Voonyx,3 Center Road,118
278,861,Zoomlounge,64 Talmadge Circle,165
279,331,Mymm,098 Ilene Drive,89
280,955,Trilia,605 Bashford Lane,133
281,171,Divape,67579 Loomis Lane,294
282,694,Tagtune,1939 Havey Crossing,204
283,759,Latz,0791 Kings Road,162
284,342,Topicstorm,07091 Di Loreto Pass,277
285,741,Youtags,42767 Ilene Center,291
286,547,JumpXS,5 Oakridge Place,130
287,144,Eamia,4 Kensington Park,138
288,829,Demivee,302 Banding Way,108
289,415,Kaymbo,13807 Sommers Park,245
290,168,Chatterpoint,1676 North Terrace,270
291,309,Meembee,27 Ridgeway Court,295
292,313,Reallinks,5144 Canary Junction,98
293,309,Skimia,09 Corben Crossing,106
294,771,Devify,596 Florence Way,237
295,164,Shuffledrive,5 Caliangt Center,173
296,669,Jayo,02781 Merchant Hill,282
297,890,Cogidoo,01863 Esch Alley,197
298,815,Jetpulse,44651 Harper Way,131
299,932,Twimbo,36949 Fuller Circle,286
300,993,Edgeclub,60 Melody Street,89
301,318,Livefish,06 Corry Alley,153
302,752,Shufflebeat,451 Kinsman Way,283
303,916,Devbug,1513 Rieder Drive,157
304,715,Buzzster,50159 Pleasure Junction,176
305,752,Realcube,747 Almo Pass,215
306,347,Chatterpoint,51 Bartillon Crossing,164
307,222,Babblestorm,9 Hudson Way,130
308,273,Bluezoom,43403 Kropf Drive,257
309,830,Kwideo,7920 Loftsgordon Point,212
310,576,Aibox,0 Esker Hill,142
311,945,Yoveo,82 Luster Avenue,236
312,257,Tambee,4255 Wayridge Center,271
313,332,Skimia,032 Alpine Center,268
314,645,Yadel,49 Butternut Plaza,159
315,344,Jabbercube,9 Fairfield Circle,97
316,241,Youfeed,9746 Cottonwood Crossing,261
317,219,Trupe,3781 Monica Parkway,115
318,255,Jabbertype,41 Londonderry Avenue,269
319,818,Realcube,2357 Hayes Junction,149
320,525,Npath,941 Briar Crest Drive,225
321,138,Bubblebox,4 Northfield Court,127
322,887,Devpulse,26 Hagan Lane,132
323,423,Twitterlist,13 Buena Vista Center,141
324,273,Youopia,18622 Scoville Way,174
325,261,Ailane,06796 Fordem Park,143
326,113,Yodel,9488 Dottie Junction,293
327,262,Flashdog,87 Warbler Parkway,92
328,978,Linktype,0126 Cody Place,113
329,181,Voomm,78864 Hintze Alley,128
330,65,Demimbu,0316 Novick Trail,126
331,611,Kazu,212 Main Place,291
332,19,Quamba,072 Hanover Way,253
333,722,Mynte,23625 Kropf Way,240
334,68,Zoombeat,3723 Becker Drive,216
335,863,Bubblemix,35 Roth Terrace,96
336,261,Livetube,93 Spenser Point,88
337,666,Dabshots,248 Kingsford Center,163
338,619,Flipopia,46786 Bowman Hill,134
339,840,Realbuzz,76 Hooker Street,283
340,887,Feedmix,0865 Milwaukee Junction,156
341,967,Buzzbean,464 Everett Point,173
342,280,Quatz,823 Warner Pass,140
343,974,Twitterbeat,1834 Algoma Park,177
344,240,Fivebridge,146 West Point,227
345,926,Gabtype,67539 Continental Terrace,131
346,447,Oyope,692 Mandrake Lane,215
347,515,Demivee,2 Westend Circle,287
348,694,Leexo,8 Lakewood Crossing,154
349,38,Bluezoom,73 Charing Cross Drive,90
350,768,Avavee,09 Maple Point,237
351,513,Fiveclub,1273 Anthes Center,182
352,914,BlogXS,5 Stuart Parkway,104
353,480,Devpoint,26277 Burrows Junction,222
354,362,Mydo,65 Macpherson Street,133
355,883,Skaboo,793 Memorial Trail,156
356,750,Divanoodle,75 Green Point,266
357,218,Kwilith,7 Namekagon Terrace,102
358,63,Centimia,94454 Stuart Way,248
359,860,Buzzdog,8 Superior Park,282
360,897,Brainbox,120 Rutledge Drive,84
361,504,Jabbersphere,675 Fairview Alley,177
362,830,Linklinks,652 Sundown Circle,128
363,405,Voonyx,466 Havey Lane,154
364,866,Realcube,175 Blue Bill Park Circle,276
365,548,Roomm,25 Bowman Place,190
366,37,Kwimbee,02873 Kipling Parkway,88
367,692,Kazio,9 Cambridge Road,159
368,659,Zoombox,462 Moose Drive,197
369,807,Voomm,62 Chinook Alley,244
370,276,Zoomcast,4052 Shelley Pass,243
371,378,Quamba,790 Onsgard Center,107
372,772,Vidoo,51 Lake View Street,299
373,170,Oodoo,3113 Talisman Junction,126
374,483,Dazzlesphere,19 Dayton Crossing,110
375,845,Roombo,9695 Morning Court,275
376,264,Voonte,58178 Emmet Court,267
377,157,Twitterwire,8215 Moulton Drive,226
378,578,Eayo,6 Manufacturers Way,95
379,390,Kimia,55 Saint Paul Point,216
380,334,Zoombeat,88 Graedel Court,260
381,772,Rooxo,20 International Point,104
382,156,Zoonder,6567 Mccormick Plaza,204
383,550,Jaxworks,937 Anderson Trail,134
384,210,Topiclounge,250 Cordelia Avenue,141
385,78,Divape,26 Dorton Crossing,262
386,516,Browseblab,47582 Twin Pines Center,87
387,443,Wordpedia,71 Hanover Street,123
388,990,Youbridge,8 Golf Course Way,274
389,822,Vinder,2 Manitowish Road,163
390,536,Omba,046 Stoughton Hill,136
391,209,Edgeify,314 Ruskin Trail,101
392,598,Browsetype,3997 Summer Ridge Park,115
393,21,Twitterwire,99 Marquette Pass,170
394,449,Eare,57155 Sauthoff Way,198
395,434,Topiclounge,790 John Wall Plaza,198
396,320,Meedoo,46764 Claremont Terrace,103
397,855,Yata,6889 Clove Plaza,141
398,497,Buzzdog,5606 Fuller Avenue,240
399,669,Wikido,7 Westend Street,248
400,415,Plajo,0643 Pepper Wood Point,207
401,855,Aimbo,481 Lerdahl Drive,290
402,392,Trudoo,6964 Manufacturers Street,247
403,431,Eamia,08 Lotheville Place,90
404,478,Flipopia,50230 Holy Cross Point,207
405,102,Topicshots,13 Kedzie Park,233
406,660,Meejo,63 Maywood Hill,205
407,399,Kwideo,31360 Scofield Court,199
408,681,Gigazoom,7 Emmet Center,156
409,419,Roodel,050 Anniversary Lane,291
410,401,Mybuzz,42 Forest Dale Lane,105
411,327,Youopia,53 Toban Junction,274
412,568,Photofeed,48481 Dahle Junction,100
413,209,InnoZ,787 Vera Alley,170
414,858,Trunyx,547 Garrison Court,277
415,831,Twimbo,42 Continental Court,206
416,475,Pixonyx,1320 Buhler Junction,169
417,55,Zoonoodle,220 Esch Junction,114
418,326,Gabcube,4583 Alpine Crossing,157
419,514,Fiveclub,47314 Twin Pines Court,125
420,575,Fivechat,42 Schlimgen Circle,228
421,412,Camido,91966 Dunning Hill,300
422,68,Avavee,778 Sommers Way,198
423,61,Realblab,83861 Buell Hill,123
424,979,Meembee,22208 Northview Trail,172
425,272,Pixope,39804 Grim Alley,234
426,865,Rhyzio,1 Carey Circle,152
427,517,Topiczoom,42763 Namekagon Lane,130
428,15,Jaxspan,0 American Avenue,188
429,604,Brightdog,945 Lerdahl Crossing,205
430,148,Thoughtstorm,09384 Atwood Park,130
431,233,Meetz,5 Cambridge Place,254
432,478,Dabshots,77 Bartillon Lane,237
433,792,Yoveo,1 Raven Point,278
434,144,Oyonder,2534 Lukken Alley,105
435,921,Riffpedia,967 Garrison Trail,207
436,690,Oyonder,2 Bobwhite Way,167
437,829,Wikibox,83 Vidon Circle,285
438,89,Aimbu,0 Thackeray Crossing,86
439,3,Lajo,9193 Mosinee Street,206
440,17,Wikido,4458 Pine View Trail,173
441,206,Tavu,03 New Castle Drive,300
442,336,Kwilith,40471 Prairie Rose Lane,126
443,626,Mymm,743 Bluejay Center,197
444,704,Devbug,9691 Sundown Center,221
445,111,Jaloo,7 Manufacturers Drive,242
446,566,Blogpad,67228 6th Center,197
447,837,Kazio,35 Aberg Road,119
448,320,Mybuzz,6 Almo Plaza,181
449,158,Browsecat,1 Esch Road,144
450,207,Tambee,84580 International Place,93
451,680,Kazu,2803 Pine View Street,113
452,355,Lajo,17 4th Avenue,124
453,514,Tagtune,024 Prairieview Junction,269
454,82,Innotype,0397 International Alley,297
455,521,Wordpedia,976 Elgar Court,106
456,761,Gabtune,92216 Bayside Plaza,86
457,542,Yodo,48666 Welch Drive,228
458,450,Skilith,24866 Carpenter Court,242
459,386,Brainbox,01 Thompson Plaza,107
460,735,Yombu,4 Sheridan Plaza,187
461,997,Trudoo,6459 Maywood Hill,144
462,445,Demimbu,4 Stang Center,192
463,419,Flashset,54740 Fieldstone Alley,223
464,807,Oyondu,75569 Derek Way,293
465,469,Photobug,4738 Cottonwood Junction,166
466,382,Realblab,828 Glacier Hill Junction,198
467,371,Avamm,8 Bowman Circle,174
468,98,Vitz,56109 Browning Circle,150
469,743,Kwimbee,26 Swallow Street,90
470,597,Youspan,2847 Lighthouse Bay Park,209
471,604,Gigabox,5799 Haas Avenue,247
472,938,Thoughtworks,9038 Sommers Hill,147
473,37,Avamba,81 Summit Road,88
474,476,Centimia,55 Granby Court,89
475,855,Wikibox,71 Lotheville Drive,162
476,272,Jaxspan,5 Reinke Court,169
477,915,Mybuzz,52224 Magdeline Road,223
478,322,DabZ,824 John Wall Avenue,188
479,806,InnoZ,8 Mcbride Terrace,101
480,234,Camimbo,842 Anhalt Drive,164
481,397,Eabox,3 Morningstar Terrace,275
482,638,Skyndu,9646 Sachtjen Junction,267
483,92,Skiptube,9 Sunfield Circle,93
484,164,Wordtune,60684 7th Center,276
485,112,Youspan,0355 Sage Park,177
486,276,Browsezoom,22 Grasskamp Terrace,299
487,933,Janyx,927 Novick Way,170
488,271,Zoomcast,42719 Saint Paul Street,185
489,353,Eadel,0486 Lillian Park,271
490,773,Zoomzone,886 Warbler Point,295
491,268,Yodel,1 Katie Park,83
492,963,Flipstorm,6110 Corscot Lane,218
493,641,Zooxo,09 5th Hill,273
494,85,Janyx,03 Truax Trail,167
495,627,Zoombox,93628 Northridge Plaza,173
496,984,Kamba,9 Vernon Avenue,297
497,930,Twitterbridge,5678 Dexter Lane,290
498,189,Trudeo,747 Mccormick Drive,188
499,448,Quaxo,59737 Sutteridge Circle,166
500,288,Twitterworks,78393 New Castle Point,253
501,762,Thoughtblab,8 Eastlawn Lane,123
502,297,Skyble,4 Havey Plaza,238
503,391,Tazz,07748 Stang Crossing,87
504,628,Realbridge,90922 Redwing Park,195
505,101,Meevee,02278 Eliot Park,182
506,506,Meembee,88372 Stephen Street,285
507,911,Edgepulse,97 Little Fleur Road,216
508,79,Chatterbridge,5779 Clarendon Trail,92
509,479,Jabbersphere,565 Loftsgordon Plaza,172
510,888,Twitterlist,50 Stone Corner Hill,212
511,342,Jetpulse,4559 Golf View Place,294
512,838,Dabtype,48251 Oak Valley Plaza,223
513,249,Omba,1 Anhalt Hill,212
514,646,Layo,9 Ludington Road,191
515,900,Buzzshare,5 Erie Pass,183
516,912,Jazzy,3146 Pearson Hill,151
517,329,Wikido,60 Arapahoe Lane,204
518,460,Quimm,43 Upham Terrace,168
519,177,Zoombox,5 Hoepker Drive,112
520,99,Twitterbeat,27 Tomscot Plaza,182
521,780,Livetube,83 Veith Court,115
522,842,Mybuzz,20 Acker Road,245
523,614,Camimbo,0 Packers Alley,161
524,584,Linktype,60615 Crescent Oaks Avenue,147
525,837,Kimia,9795 Lerdahl Place,249
526,234,Shuffledrive,03112 Little Fleur Hill,292
527,423,Cogibox,9366 Barby Parkway,116
528,784,Dynava,39 Barby Court,109
529,866,Brainbox,25 Sullivan Parkway,130
530,141,Brainlounge,691 Commercial Lane,137
531,558,Thoughtbeat,3 Declaration Road,186
532,574,Skidoo,3 Bonner Plaza,300
533,530,Demimbu,894 Colorado Hill,85
534,19,Vinder,92 Dryden Terrace,200
535,776,Dazzlesphere,53 Maple Lane,203
536,752,Rhycero,90055 Bowman Lane,104
537,717,Zoovu,7 Myrtle Trail,115
538,216,Centidel,05034 Westend Center,244
539,456,Kwimbee,76367 Orin Point,95
540,136,Yotz,06 Nobel Lane,82
541,541,Twitterbridge,55 Golden Leaf Circle,152
542,890,Yozio,2259 Eliot Street,211
543,481,Skyvu,3 Montana Junction,106
544,462,Einti,178 Homewood Plaza,92
545,11,Realpoint,196 Boyd Street,251
546,51,Wikizz,01 Barby Center,108
547,897,Rhynoodle,124 Vidon Way,124
548,637,Jayo,387 Rockefeller Terrace,221
549,716,Dabjam,73 Lawn Road,192
550,178,Browsetype,428 Union Place,252
551,647,Dabjam,9380 Sunfield Lane,296
552,975,Skyndu,06701 Monterey Park,224
553,244,Buzzster,489 Towne Crossing,141
554,439,Minyx,52 Valley Edge Plaza,125
555,582,Rhybox,1544 Bartillon Terrace,288
556,686,Dabjam,95 North Park,284
557,214,Meejo,036 Utah Parkway,142
558,465,Yoveo,53 Kensington Drive,224
559,488,Voonyx,604 Rutledge Court,160
560,638,Skidoo,66 Fieldstone Way,255
561,412,Jaxworks,09 Algoma Point,232
562,203,Tagpad,12 Becker Hill,112
563,452,Vidoo,3 Pierstorff Junction,178
564,540,Devbug,4168 Express Alley,286
565,770,Latz,49 Del Sol Road,240
566,454,Eimbee,789 Mitchell Court,154
567,59,Realfire,78 School Avenue,229
568,973,Youspan,023 3rd Trail,148
569,592,Dabfeed,6140 Claremont Plaza,289
570,967,Abata,1 Merchant Crossing,267
571,504,Yozio,09 East Way,130
572,236,Teklist,54 Morning Park,288
573,448,Zoomlounge,993 Bashford Drive,238
574,588,Rhyzio,4727 Eagan Pass,186
575,659,Voonte,458 Pearson Circle,100
576,781,Innojam,203 Stang Terrace,239
577,391,Devify,9 Holmberg Parkway,92
578,735,Oyoyo,817 Clyde Gallagher Alley,293
579,998,Yakijo,42856 Pepper Wood Circle,211
580,830,Quimba,0614 Bartillon Lane,82
581,108,Rooxo,554 Summerview Pass,106
582,43,Trupe,5193 Crownhardt Circle,182
583,936,Thoughtsphere,969 Cardinal Drive,172
584,443,Tagopia,65 Autumn Leaf Hill,259
585,754,Jatri,45 Banding Avenue,133
586,153,Twitterlist,409 Randy Trail,204
587,412,Dabfeed,97 Rowland Avenue,138
588,713,Yabox,150 Toban Parkway,98
589,662,Yamia,29277 Nova Alley,272
590,706,Yadel,58 Anthes Plaza,298
591,384,Tekfly,1 Meadow Valley Street,292
592,7,Fivechat,5 Granby Road,108
593,301,Realblab,700 Scott Way,120
594,753,Avamba,0911 Browning Terrace,154
595,395,Zoonder,326 Glendale Road,119
596,886,Voomm,4907 Acker Road,180
597,995,Flashdog,57 Sunnyside Point,229
598,576,Babblestorm,67971 Westerfield Place,236
599,757,Flipstorm,7271 Karstens Terrace,242
600,594,Voonyx,3 Dahle Road,87
601,761,Thoughtsphere,83705 Manufacturers Center,232
602,751,Dabvine,030 Scofield Junction,100
603,417,Eidel,66 Merry Plaza,298
604,58,Demivee,88112 Lukken Park,257
605,454,Photospace,5 Westport Court,106
606,62,Photobean,9374 Stuart Drive,201
607,80,Mudo,13139 Anhalt Way,92
608,734,Gevee,74 Lakewood Pass,169
609,894,Bluejam,63 Garrison Way,99
610,776,Avamm,30 Fallview Terrace,113
611,596,Meezzy,5705 Petterle Way,98
612,751,Feedspan,0 John Wall Park,216
613,944,Photobean,36010 Corben Plaza,235
614,402,Realpoint,386 Esch Avenue,110
615,616,Zava,03300 Kingsford Terrace,211
616,631,Zoomzone,4 Washington Alley,194
617,154,Ainyx,6747 Erie Way,113
618,635,Muxo,0 Kinsman Park,152
619,889,Topicshots,28291 Norway Maple Park,281
620,490,Yoveo,68 Haas Crossing,80
621,708,Feednation,12 Summer Ridge Alley,95
622,116,Edgetag,00 Merrick Parkway,236
623,551,Skynoodle,42098 Roth Lane,160
624,544,Blogpad,07 Memorial Trail,80
625,539,Aimbo,5 Spaight Drive,176
626,739,Topiclounge,443 North Crossing,101
