ServiceID,BundleID,VendorID,ServiceName,Price,Description
64,,597,Sanitation,1067,"Person outside car injured pick-up truck, pk-up/van in traf"
65,,872,Lights,1951,"Contact with running hot water, initial encounter"
66,64,171,Decor,655,"Epileptic seiz rel to extrn causes, not ntrct, w/o stat epi"
67,,371,Catering,1676,Corrosion of unspecified degree of unspecified lower leg
68,,106,Sound,853,"Contact with sharp glass, subsequent encounter"
69,,174,Catering,887,"Staphylococcal arthritis, right hand"
70,,90,Lights,1524,Calculus of bile duct with cholecystitis
71,,153,Food,238,"Disp fx of low epiphy (separation) of unsp femr, 7thJ"
72,,423,Decor,740,Corrosion of first degree of toe(s) (nail)
73,,461,Food,231,"Priapism, unspecified"
74,,187,Decor,496,"Strain long flexor musc/fasc/tend l thm at wrs/hnd lv, init"
75,161,712,Decor,1630,"Oth fx upr end l tibia, subs for opn fx type I/2 w malunion"
76,91,736,Sanitation,120,"Poisoning by unspecified topical agent, assault, init encntr"
77,,94,Food,884,"Superficial foreign body of right thumb, sequela"
78,,780,Decor,59,"Disp fx of intermed cuneiform of unsp ft, 7thP"
79,143,436,Decor,1124,"Disp fx of r tibial tuberosity, 7thJ"
80,,27,Sound,1702,Breakdown (mechanical) of permanent sutures
81,,192,Sound,1480,"Pressure ulcer of right buttock, stage 4"
82,,326,Sound,202,"Infective myositis, unspecified right arm"
83,152,852,Sound,1455,"Pnctr w fb of pharynx and cervical esophagus, sequela"
84,,195,Decor,1207,"Subluxation of MCP joint of right index finger, subs"
85,122,682,Decor,1516,Lacerat intrinsic musc/fasc/tend l idx fngr at wrs/hnd lv
86,,858,Sound,1836,"Juvenile arthritis, unspecified, hip"
87,,437,Catering,1729,"Type 3 fracture of sacrum, init encntr for open fracture"
88,134,757,Lights,597,Striking against wall of swimming pool causing other injury
89,3,465,Lights,922,Unsp personality & behavrl disord due to known physiol cond
90,147,920,Sanitation,621,"Puncture wound w/o foreign body of right buttock, sequela"
91,,394,Lights,1900,"Unsp fracture of upper end of left humerus, init for opn fx"
92,127,387,Sound,1354,"Nondisp simp suprcndl fx w/o intrcndl fx unsp humer, 7thD"
93,,122,Catering,1570,"Poisoning by oth hormones and synthetic sub, self-harm"
94,112,282,Sound,1935,Dislocation of right ankle joint
95,,176,Catering,177,"Pasngr in pk-up/van inj in clsn w 2/3-whl mv nontraf, init"
96,128,591,Sound,1585,"Unspecified injury of right renal vein, initial encounter"
97,,423,Catering,1540,"Infct of amniotic sac and membrns, unsp, unsp tri, fetus 1"
98,43,890,Sound,1159,"Occup of 3-whl mv injured pick-up truck, pk-up/van in traf"
99,162,777,Food,1509,"Strain intrns musc/fasc/tend r rng fngr at wrs/hnd lv, sqla"
100,7,185,Catering,807,External constriction of toe
101,167,27,Lights,1275,"Allergic dermatitis of right eye, unspecified eyelid"
102,,275,Sanitation,1281,"Unsp injury of posterior tibial artery, right leg, sequela"
103,70,118,Sanitation,1138,Laceration of extensor musc/fasc/tend thmb at wrs/hnd lv
104,153,329,Lights,1204,Carcinoma in situ of other female genital organs
105,,465,Sanitation,491,"Bent bone of right ulna, subs for clos fx w malunion"
106,,194,Decor,1059,"Disp fx of lateral condyle of right humerus, init for opn fx"
107,,74,Lights,718,Other mastoiditis and related conditions
108,191,246,Decor,1355,"Other specified arthritis, hip"
109,1,909,Sanitation,233,Rheumatoid arthritis of hip w involv of organs and systems
110,176,255,Food,318,"Superficial foreign body, right lower leg, initial encounter"
111,,737,Food,1086,"Nondisp oblique fx shaft of unsp fibula, 7thQ"
112,,390,Sound,835,"Fx unsp part of nk of r femr, subs for clos fx w delay heal"
113,87,207,Sound,1675,Conjunctival granuloma
114,,599,Catering,1386,Other disorders of amniotic fluid and membranes
115,,266,Sound,1591,"Nondisp commnt fx shaft of ulna, l arm, 7thJ"
116,107,747,Sanitation,661,Injury of renal blood vessels
117,67,313,Sound,545,"Toxic effect of nitrodrv/aminodrv of benzn/homolog, slf-hrm"
118,,657,Sanitation,1673,"Ped on sktbrd inj in clsn w nonmtr vehicle in traf, sequela"
119,,931,Lights,419,"Unsp inj msl/tnd lng extn msl toe at ank/ft lev, r ft, sqla"
120,,88,Sanitation,1953,"Nondisp fx of prox phalanx of l thm, subs for fx w nonunion"
121,11,873,Sound,226,"Burn of unsp deg mult left fingers (nail), inc thumb, init"
122,9,162,Decor,1554,Lobular carcinoma in situ of unspecified breast
123,45,588,Decor,1089,"Lacerat abd wall w fb, l upr q w/o penet perit cav, subs"
124,,91,Sanitation,1387,"Nondisp segmental fracture of shaft of humerus, unsp arm"
125,,19,Catering,1508,"Hydroxyapatite deposition disease, left knee"
126,100,41,Sound,670,"Stress fracture, unsp ankle, subs for fx w nonunion"
127,,155,Sanitation,1521,"Contus/lac/hem brainstem w LOC of 1-5 hrs 59 min, sequela"
128,,501,Decor,502,Intracranial and intraspinal phlebitis and thrombophlebitis
129,112,413,Sound,1405,"4-part fx surgical neck of unsp humerus, init for opn fx"
130,,921,Catering,1843,"Unsp fx upr end unsp rad, 7thQ"
131,68,317,Catering,255,"Condctv hear loss, uni, right ear, w unrestr hear cntra side"
132,176,375,Lights,1795,"Unsp injury of unsp blood vessel at shldr/up arm, left arm"
133,,719,Catering,854,"Fracture of alveolus of maxilla, subs for fx w nonunion"
134,87,831,Lights,1146,"Nondisp fx of base of nk of r femr, 7thE"
135,,507,Sanitation,1212,Laparoscopic surgical procedure converted to open procedure
136,150,849,Catering,1886,Gammaherpesviral mononucleosis with other complications
137,111,645,Sanitation,193,"Injury of radial nerve at upper arm level, unsp arm, sequela"
138,,580,Sound,1901,Causalgia of right lower limb
139,158,160,Sanitation,361,"Spondylolysis, site unspecified"
140,,263,Sound,664,"Unsp injury of blood vessels at lower leg level, unsp leg"
141,,518,Decor,809,"Disp fx of fourth metatarsal bone, unspecified foot, sequela"
142,,272,Catering,98,"Toxic effect of carb monx from mtr veh exhaust, asslt, sqla"
143,182,664,Decor,1345,"Displ spiral fx shaft of r femr, 7thD"
144,,511,Lights,1282,"Displ spiral fx shaft of unsp tibia, 7thN"
145,,360,Food,172,Pedestrian injured in collision w rail trn/veh in traf
146,55,380,Sound,355,"Achilles tendinitis, right leg"
147,,32,Sound,1604,"Pedl cyc pasngr inj in clsn w nonmtr vehicle in traf, sqla"
148,23,995,Lights,327,"Unsp mtrcy rider injured in clsn w unsp mv in traf, subs"
149,,962,Catering,707,"Fracture of orbital floor, left side, 7thD"
150,125,264,Lights,1094,"Traum subrac hem w LOC w death d/t brain inj bf consc, subs"
151,21,926,Sound,1291,"Laceration of posterior tibial artery, right leg, sequela"
152,167,561,Decor,1750,"Unsp opn wnd right lesser toe(s) w/o damage to nail, subs"
153,,870,Decor,135,"Subluxation of MCP joint of left ring finger, sequela"
154,,679,Food,1966,Sepsis following complete or unsp spontaneous abortion
155,9,776,Decor,1858,Incomplete defecation
156,39,456,Food,1923,Contact with and (suspected) exposure to uranium
157,82,571,Food,1143,"Arthritis due to other bacteria, left wrist"
158,31,453,Food,1277,"Displ bimalleol fx unsp low leg, 7thJ"
159,139,7,Food,1175,Idiopathic aseptic necrosis of right finger(s)
160,,652,Decor,1028,"Conjunctival adhesions and strands (localized), unsp eye"
161,,765,Sound,1793,Rheumatoid vasculitis w rheumatoid arthritis of left ank/ft
162,98,16,Food,471,"Drug-induced cataract, bilateral"
163,,37,Food,138,Complete traumatic amputation of unspecified breast
164,179,720,Sanitation,435,"Inj oth blood vessels at ank/ft level, right leg, init"
165,,645,Sanitation,1837,"Toxic effect of venom of arthropod, self-harm, sequela"
166,,90,Sound,1397,Nondisplaced transverse fracture of shaft of right tibia
167,,280,Decor,310,"Nondisp fx of med condyle of r tibia, 7thN"
168,,476,Sound,1823,"Dislocation of carpometacarpal joint of unsp hand, sequela"
169,192,587,Sanitation,203,"Laceration with foreign body, unspecified hip, sequela"
170,,455,Sanitation,1307,"Contusion of adrenal gland, initial encounter"
171,60,359,Food,1777,Inj extensor musc/fasc/tend and unsp finger at forarm lv
172,125,692,Lights,1946,"Disp fx of greater tuberosity of right humerus, sequela"
173,114,527,Food,1949,"Labor and del comp by oth cord entangle, w/o comprsn, fts5"
174,46,252,Catering,693,"Laceration w/o fb of right cheek and TMJ area, init"
175,,596,Sanitation,261,Juvenile osteochondrosis of head of femur
176,93,685,Decor,186,"Stress fracture, left tibia, sequela"
177,99,69,Sound,412,"Oth types of non-Hodgkin lymphoma, lymph nodes mult site"
178,,90,Food,148,"Glaucoma secondary to drugs, right eye, indeterminate stage"
179,163,630,Sound,135,"Torus fx lower end of l humerus, subs for fx w nonunion"
180,,361,Decor,1509,Non-pressure chronic ulcer of left ankle
181,95,610,Catering,1380,"External constriction of left hand, subsequent encounter"
182,123,758,Sanitation,628,Chronic embolism and thrombosis of r int jugular vein
183,122,335,Catering,749,Occup of 3-whl mv injured in clsn w nonmtr vehicle in traf
184,,104,Decor,1684,Burn of 3rd deg mu sites of unsp wrist and hand
185,,568,Catering,1965,"Unsp physeal fracture of upper end of unsp femur, init"
186,,141,Food,1614,"Unsp soft tissue disord related to use/pressure, unsp shldr"
187,,780,Decor,707,Fall on board other unpowered watercraft
188,186,59,Food,602,Varicose veins of right lower extremity with ulcer of thigh
189,,2,Lights,654,"Other stimulant use, unsp with intoxication, uncomplicated"
190,,798,Sanitation,1013,Pressure ulcer of other site
191,115,82,Lights,1199,"Nondisp fx of dist phalanx of r less toe(s), init for opn fx"
192,,834,Sound,1274,"Nondisp transcondy fracture of r humerus, init for opn fx"
193,,550,Decor,1795,"Oth nondisp fx of third cervical vertebra, init for clos fx"
194,,168,Food,156,"Poisoning by unsp systemic antibiotic, undetermined, subs"
195,195,917,Decor,989,"Crushing injury of right great toe, initial encounter"
196,,355,Catering,575,"Colles' fracture of left radius, init for opn fx type 3A/B/C"
197,,240,Sanitation,1097,"Contusion of right thigh, initial encounter"
198,,863,Lights,1263,"Toxic effect of carbon dioxide, accidental, subs"
199,188,325,Food,1376,"Laceration of peroneal artery, left leg, subs encntr"
200,62,279,Decor,1712,"Toxic effect of ingested mushrooms, assault"
